Dataset,Method,DiversityWeight,Epochs,LatentDim,Heads,Temperature,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
coil20,ICL,1.0,100,512,1,0.05,150,0.6171527777777778,0.036089804077236734,0.7250170497795653,0.015335678702561532
coil20,ICL,0.3,100,512,1,0.01,250,0.6168402777777777,0.027718578410884823,0.7238613603241333,0.014824035873572762
coil20,ICL,0.3,100,512,1,0.05,300,0.6161111111111112,0.03510181399413728,0.7376293383129495,0.016690212186600845
coil20,ICL,1.0,100,512,1,0.09,100,0.6160069444444445,0.03511409080513103,0.7369161612061625,0.018850264415998453
coil20,ICL,0.2,100,512,1,0.01,250,0.615173611111111,0.028907808808486753,0.720448234929164,0.012536170449753144
coil20,ICL,0.3,100,512,1,0.03,300,0.6148958333333334,0.030117980298627556,0.7419709066420106,0.01653382441266987
coil20,ICL,0.25,100,512,1,0.03,200,0.6145833333333334,0.027041456228137407,0.7486133283592087,0.012488033326395379
coil20,ICL,0.3,100,512,1,0.03,200,0.6145486111111111,0.030040221076587433,0.7323859971387577,0.013692557883438207
coil20,ICL,0.45,100,512,1,0.03,300,0.6139583333333334,0.03918285471217049,0.7441180985081284,0.01389883898304566
coil20,ICL,0.3,100,512,1,0.01,150,0.6138888888888889,0.02728822073241017,0.7179260334437545,0.012406074634603564
coil20,ICL,0.95,100,512,1,0.05,250,0.6135069444444444,0.030233047840285014,0.7331682367979833,0.01339406762686538
coil20,ICL,0.15,100,512,1,0.01,250,0.6122222222222221,0.03192587020382693,0.722366034663988,0.011374331129268559
coil20,ICL,1.0,100,512,1,0.05,300,0.6109375000000001,0.043612479521171095,0.7326812670604201,0.01741521423556204
coil20,ICL,0.95,100,512,1,0.05,200,0.6109375,0.034395599187125064,0.7287905767007776,0.015453169885174567
coil20,ICL,0.35,100,512,1,0.03,250,0.610763888888889,0.035032984347382556,0.7496124846934887,0.015474886833978898
coil20,ICL,0.15,100,512,1,0.01,300,0.6106597222222223,0.027301714823985825,0.7243808456650506,0.013125050974429472
coil20,ICL,0.95,100,512,1,0.05,150,0.6068749999999999,0.03105176321011079,0.726203687643616,0.015323972047851431
coil20,ICL,0.15,100,512,1,0.02,300,0.6067361111111111,0.04312444086236201,0.7343886276354552,0.020283025656678378
coil20,ICL,0.3,100,512,1,0.01,300,0.6064583333333332,0.02626992556513115,0.7212023708338523,0.01188798802285431
coil20,ICL,0.15,100,512,1,0.01,200,0.6062847222222223,0.03871518435464563,0.7146906269947398,0.01333779954436827
coil20,ICL,1.0,100,512,1,0.05,50,0.6062847222222221,0.030061083486044533,0.7041448340469738,0.011567744912469815
coil20,ICL,1.0,100,512,1,0.05,200,0.60625,0.03607303013452599,0.7303378694844891,0.013489100410438269
coil20,ICL,1.0,100,512,1,0.09,150,0.6056597222222223,0.029628677918019784,0.7302903379877488,0.014944190991494992
coil20,ICL,0.25,100,512,1,0.03,250,0.6044791666666666,0.03813029651025385,0.7491364105347365,0.015636377992849396
