Dataset,Method,DiversityWeight,Epochs,LatentDim,Heads,Temperature,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
coil20,ICL,0.95,100,512,1,0.02,250,0.6438541666666666,0.03137803631833013,0.7719379958409117,0.014300694045326232
coil20,ICL,0.1,100,512,1,0.06,300,0.6437847222222223,0.02261104606017124,0.7620955556381535,0.012596553621739096
coil20,ICL,0.1,100,512,1,0.06,300,0.6437847222222223,0.02261104606017124,0.7620955556381535,0.012596553621739096
coil20,ICL,0.7,100,512,1,0.07,250,0.6437847222222222,0.039480540873180654,0.7521523361930613,0.014667997539696869
coil20,ICL,0.25,100,512,1,0.07,200,0.64375,0.042086427279006605,0.7743915805668639,0.018923345648141215
coil20,ICL,0.5,100,512,1,0.06,100,0.6437152777777778,0.041527821325692514,0.7676054010944402,0.01732060070729728
coil20,ICL,0.5,100,512,1,0.06,100,0.6437152777777778,0.041527821325692514,0.7676054010944402,0.01732060070729728
coil20,ICL,0.2,100,512,1,0.08,250,0.6437152777777778,0.03755877274496631,0.7617762074173448,0.01386917737834156
coil20,ICL,0.15,100,512,1,0.04,300,0.6436805555555556,0.038135623899251805,0.7670819422008978,0.01583232663439405
coil20,ICL,0.7,100,512,1,0.03,100,0.6436458333333333,0.04184007607143635,0.7728487468069307,0.014391669357223465
coil20,ICL,0.95,100,512,1,0.06,250,0.6436111111111111,0.03739220618435524,0.7552910775765886,0.012455883671667414
coil20,ICL,0.8,100,512,1,0.02,300,0.6434375000000001,0.036505904810509075,0.7541804015171304,0.01971419810883448
coil20,ICL,0.3,100,512,1,0.04,250,0.6434374999999999,0.03266582443524041,0.7558089416853606,0.015264016445808392
coil20,ICL,0.8,100,512,1,0.02,250,0.6434027777777779,0.027265678890692795,0.7527083483715524,0.01403695341205001
coil20,ICL,0.75,100,512,1,0.08,200,0.6434027777777779,0.024370449084500832,0.7413980415003076,0.011735994483940334
coil20,ICL,0.35,100,512,1,0.04,100,0.6433333333333334,0.03596283661342568,0.7677534338076288,0.014390993496181618
coil20,ICL,0.2,100,512,1,0.11,200,0.643263888888889,0.0313832805953413,0.7506539612077485,0.011544941885806617
coil20,ICL,0.75,100,512,1,0.08,250,0.6429861111111111,0.014958629936190727,0.7480983375490273,0.010826699560142821
coil20,ICL,1.0,100,512,1,0.06,150,0.6428125,0.040410625622408325,0.7520818716957456,0.019025273747024157
